feature,class
"[-42.18055    106.264595   -24.218506    44.67555    -12.344403
  20.534286   -16.052776    18.492975   -18.786243    15.519279
 -15.459702     8.954699    -9.982072     6.930359    -8.807148
   4.5700974   -9.049452     1.0627081   -6.450736    -0.9850295
  -5.978542     2.5569706   -6.1638656   -2.533172    -1.0865661
  -0.66107094  -1.0518506   -1.5172212   -1.5001613   -2.2046552
  -1.7380406   -7.9135375   -5.169954    -3.0704029   -0.44034562
  -1.0850272    0.514919     0.13428538   3.5861437   -1.3324641 ]",country
"[-111.09919      94.025856     12.438059     16.629438      8.1260395
   15.663839     -1.4103327     7.014441      0.959783     -1.4994508
   -3.0789328    -5.0989857    -3.715649      0.2136301    -2.111481
   -1.8266252    -5.3254986     1.2326591    -5.604142     -3.612315
   -5.392497     -1.5270565    -2.824352      0.9765376    -2.2984998
    0.94265133   -3.4504752    -1.1514236    -3.3889396    -1.4929879
   -2.904513     -3.3896675    -0.9524114     0.2930764     2.6836119
    5.0475416    -0.53080976   -0.6431655     0.7179779     0.49695486]",disco
"[-29.0431      51.860497    -7.5676084   21.507437     8.141378
  18.118086     6.8945746    6.569047     0.7113646   11.159763
  -1.8163267    1.63559     -2.5911896   -1.3763999   -3.614617
   0.21744065  -0.39202842   2.6324093   -3.3654647   -0.08974963
  -2.4852939    2.1648226   -1.4023751   -0.74788564  -7.9756308
  -2.390454    -0.54617405   1.7155746   -2.9266355   -5.172905
  -1.9561977    1.8450623   -2.123195    -3.9969828   -5.1098676
  -5.562187    -3.2660313   -2.8443766   -1.0551536    0.9945269 ]",disco
"[-53.1693      57.173717    21.160826    11.3052635   18.118341
   1.6628118    0.3451027    2.3239794   -5.1052694    2.747911
   3.1522436   -5.5144777   -3.1615028   -0.5241285   -2.6467953
  -1.988998    -1.2340914   -3.3621638   -3.7318506   -1.4488603
  -0.67799747  -5.244296    -5.637661    -7.1497993   -0.10558761
  -3.329199    -1.6414567   -2.5982668   -1.7467448   -0.89902586
  -0.22260149  -5.9359026   -5.4585915   -4.2818294   -5.2598553
  -4.3154306   -5.533428    -3.6417925   -2.6881242   -1.9191002 ]",disco
"[-4.4433094e+01  5.2320511e+01  3.2428551e+00  4.3939308e+01
  1.2584174e+01  2.4506044e+01  4.9235029e+00  1.5306510e+01
  2.0410919e+00  1.0386366e+01 -1.4623228e+00  8.8346081e+00
  4.1668227e-01  4.6652493e+00 -1.8346961e+00  2.9817386e+00
 -2.0356004e+00 -3.3498189e+00 -4.1517015e+00 -3.5668179e-01
 -3.5177221e+00  2.3690129e-02 -2.3539045e+00 -1.7746733e+00
 -3.1682973e+00 -2.2861269e+00 -3.4935424e+00  1.0460532e+00
 -1.7083532e+00 -1.0162973e+00 -1.1993166e+00  1.2413849e+00
 -5.0132024e-01 -8.9240533e-01 -3.6502612e+00 -4.1523137e+00
 -4.0539417e+00 -8.9398021e-01  2.5303011e+00 -2.1489778e+00]",disco
"[-8.3555092e+01  6.4491341e+01  5.6444163e+00  2.7019300e+00
  7.8633976e-01  6.1651754e+00  1.8841151e+00  1.9749736e+00
 -1.8108131e+00  1.8658113e+00  2.4624798e+00 -2.2272585e-01
  2.9572232e+00 -3.3813760e+00 -8.7036991e-01  4.2189453e-02
 -1.5689080e+00  5.6300360e-01  3.0448669e-01 -2.7792039e+00
 -8.3016765e-01 -1.3021867e+00 -2.5080853e+00 -5.7108438e-01
 -2.7016442e+00 -1.4063913e+00  1.6583699e+00  3.0933139e+00
  4.5724797e+00 -1.9858301e+00 -1.9741946e-01 -4.0771729e-01
  5.7835555e-01 -1.5672112e+00 -3.2453445e-01 -4.1246524e-01
 -2.9552047e+00 -4.7421479e-01 -4.7165626e-01 -1.4837300e+00]",disco
"[-2.48161335e+01  7.36984177e+01 -1.17444935e+01  2.83046341e+01
  6.29174280e+00  2.19071341e+00  8.41922855e+00  1.21958942e+01
 -4.05758524e+00  1.34982185e+01  1.86839271e+00 -9.25945878e-01
  5.33890128e-01  2.46503568e+00 -3.81391358e+00 -9.20062721e-01
 -9.95954216e-01 -3.46952009e+00 -9.60426033e-01  7.63290236e-03
 -1.13676977e+00  2.45603502e-01 -2.92778087e+00 -1.07732284e+00
 -2.88417006e+00 -1.66997540e+00 -3.93469512e-01 -9.90266740e-01
 -4.31685734e+00 -4.36245203e+00 -2.84571147e+00 -1.14898801e-01
 -1.03795624e+00 -1.84810972e+00 -3.31576276e+00 -2.51959229e+00
 -3.22263408e+00 -2.96204662e+00 -2.23245454e+00 -1.08969724e+00]",disco
"[-14.574817    65.19933    -19.888515    31.502686    -4.814699
  11.8655615    9.996404     5.9602337   -3.8007708    9.38057
  -4.387615     3.3392262   -4.445434    -1.2698743   -0.83425266
  -2.1974072   -4.739514    -2.6204548   -7.4701676    0.23054624
  -3.338081    -0.2640384    3.565924     2.106539    -1.7934192
  -1.6348262   -7.138888    -2.493512     0.9580976   -2.4946902
  -9.18325     -2.4213698   -0.34959245   1.6739554   -2.2749598
  -3.4421165   -3.8719094   -2.7769105   -2.058736    -3.341408  ]",disco
"[-53.432594    56.165604    -6.337501    31.602524     4.648096
  16.339651     4.108209     1.8778181   -0.38534984   2.4980185
  -0.5452888    0.96003777   0.49098668  -0.17423521  -1.8158447
  -2.527268     0.82284206  -0.33732015   0.5601941    2.7661414
   1.4095795    1.1763521    0.7133999   -1.9269428   -1.1680121
   1.5943234   -0.5918663   -0.74284154  -1.5151991   -2.6526945
  -0.3981235   -1.1921228   -3.8573742   -6.824415    -5.696917
  -4.3125396   -4.4488964   -1.6206287   -1.8101898   -2.0660655 ]",disco
"[-3.2569878e+01  6.5036293e+01 -2.6761168e+01  3.0300564e+01
  5.6973372e+00  1.1660783e+01 -2.2276869e+00  1.0421782e+01
 -2.3734117e+00  5.3654742e+00 -3.8786147e+00 -8.6317992e-01
 -2.1064360e-01  3.4743693e+00 -3.0502956e+00  3.5862797e-01
 -9.3389261e-01  1.1889793e+00  2.6238304e-02  2.9308534e+00
  3.4288597e-01  6.3033450e-01 -2.2672782e+00 -1.1373696e+00
 -2.7775586e+00 -3.8159767e-01 -2.8521755e+00 -3.6346374e+00
 -4.1927795e+00 -1.3664817e+00  1.1149043e+00 -1.4014041e+00
 -4.9513626e+00 -1.1752892e-01 -5.6455767e-01  7.3088872e-01
 -6.8677753e-01  1.3572547e+00  7.8922355e-01 -7.1258146e-01]",disco
"[-68.92688     63.117622   -15.855327    28.002327     8.173503
   7.323385    -4.9316792    9.490028    -0.974049    -1.5963366
  -6.184394    -3.9365966   -1.1669565   -6.5405774   -6.1709123
  -5.039419    -4.40163     -5.379509    -1.6691306   -0.8976508
   1.230479     1.0306517   -1.730502    -3.1451836   -0.80398643
  -2.6987977   -1.8211155   -2.0863023   -0.70277476  -2.2833297
  -4.967818    -6.9197707   -5.5043926   -3.3323255   -4.033358
  -6.7527614   -4.241201    -0.82757705  -1.7598426   -3.188972  ]",disco
"[ -6.7652006   61.12942    -16.672161    27.438726     7.734437
  16.013573     4.646263    11.44598      0.34369335   9.835787
   3.1894264    5.0318027   -1.8564004    1.4831405    0.94239396
  -0.43738037  -0.73053473   4.4428086   -1.8508501   -0.6073213
  -0.59528756   1.4523761   -0.8492197    2.0765986   -0.46531984
  -1.7442139   -1.6971629    1.5843495   -1.0747522   -1.1044016
  -1.4562981    0.64185065  -1.0502968   -0.13888894  -3.5365834
  -1.4678453   -1.2041445   -0.58878714  -2.1391404    0.8346086 ]",disco
"[-41.31514     62.78868      7.3239293   12.122528     6.358506
   9.252999     3.0642164   13.849786     0.15274546   8.056879
  -2.6997385   -7.2205544   -3.241377    -1.9207122    0.52148867
  -3.184866    -5.5446587   -9.163444   -10.666911    -5.977336
  -6.0135217    1.2843696   -8.855383    -4.4145007   -5.8582754
  -5.4680514   -3.989908    -1.0088419   -1.879036    -6.1003027
  -3.5728052   -2.5781095    2.1203783   -2.2686372   -2.3739755
  -6.8494244   -6.923038    -3.18041     -4.884142    -4.3659062 ]",disco
"[-5.7955585e+01  6.8428207e+01 -1.5226618e+01  2.3414101e+01
  1.4886023e+01  1.3217155e+01  2.1807866e+00  1.2793448e+01
  4.8980430e-02  1.2763609e+01  7.0236702e-03  3.3800199e+00
  8.4366637e-01  1.0487714e+00  5.5684382e-01  2.9899883e+00
  2.9046800e+00  4.0230665e+00  5.2316934e-01  1.9532893e+00
 -1.4784225e+00  2.7636566e+00  1.2027611e+00  2.1813445e+00
  1.2581407e+00  3.2800490e-01  2.6794012e+00  5.8979793e+00
 -3.9188218e-01 -6.9317585e-01  1.3409895e-01  1.2166731e+00
  2.1268039e+00  2.9102168e+00 -1.4097942e+00 -1.2473551e+00
 -7.5184554e-01  9.6789938e-01  1.6372970e+00  1.1472427e+00]",disco
"[-4.0076855e+01  5.6219803e+01  2.3692863e+01  3.1939529e+01
  2.4548008e+00  2.5702763e+00 -2.4864347e+00  3.1007562e+00
  1.8817089e+00  3.3470373e+00 -1.8148164e-03 -1.5163457e+00
 -2.4515190e+00 -5.0742278e+00 -3.6787608e+00 -7.8542771e+00
 -3.0474570e+00 -2.7854023e+00 -7.4963384e+00 -3.6242175e+00
 -1.8668197e+00  9.1467607e-01  1.2551222e+00 -1.6366472e+00
 -4.9712815e+00 -4.1223054e+00 -3.1597941e+00 -1.2006062e+00
  8.7562181e-02  2.8060165e-01 -1.3398581e+00 -2.0027308e+00
 -8.5041070e-01 -1.0437828e+00 -1.2633294e+00 -1.8218256e+00
  6.8179208e-01  1.0266525e+00 -1.4531275e+00 -2.8149891e+00]",disco
"[-23.927662    61.220757    -0.9586992   25.331013     0.39423463
   6.0302544    2.4890816    6.189192    -0.3292669    9.696876
  -5.5078354    1.0618181   -2.4369648   -0.56662     -1.5567182
  -0.8967289   -6.7337766   -3.7109935   -4.4605083   -0.7739851
  -3.8919556   -4.9052196   -9.350866    -6.033331    -6.347331
  -5.8068357   -5.1524935   -0.9659905   -4.206074    -3.5731235
  -1.4492646   -0.7628171   -3.604607    -5.8277454   -4.408888
  -3.6586003   -4.229129    -2.709662    -0.2919151   -0.40019047]",disco
"[-4.6762787e+01  1.0370078e+02  2.2126631e+01  9.2237015e+00
  2.2584798e+00 -4.7948833e+00  4.7989950e+00  9.5153779e-01
 -9.4117737e+00 -1.0667287e+00 -8.6732721e-01 -5.2795992e+00
 -1.7630391e+00 -3.6539245e+00 -4.3117714e+00 -7.9420380e-02
 -2.4967780e+00  5.4016691e-01  2.5187650e+00 -3.5475986e+00
 -2.6521368e+00 -3.5096409e+00 -3.6506634e+00  8.7190211e-02
 -1.0068832e-01 -3.1684711e+00 -2.1565273e+00 -2.7670345e+00
 -1.5269779e+00 -1.9518796e+00 -2.1893501e+00 -4.4384375e+00
 -2.8569782e+00 -2.2389890e-01 -3.2207284e+00 -2.3655007e+00
 -3.0617924e+00 -5.1669984e+00 -5.4959040e+00 -3.7048633e+00]",disco
"[-35.856197    83.80528     -2.9019706   32.213963     9.144426
   4.18242      0.13708664  11.094397    -2.8947356    7.995451
   0.6289427    3.6732092    3.7831783    4.055763    -3.2874453
   0.10280425  -3.838645    -0.4993342   -3.4209988   -0.7642351
  -1.783882     2.7401326   -0.8185519    0.10964879  -1.7851534
  -2.3409095   -2.2367752   -1.9294091   -2.7043066   -0.15298742
  -0.36316514  -0.19520056  -0.79324275  -1.1278718   -2.927209
  -2.6800218   -3.1033018   -1.2689594   -1.2676382   -2.399556  ]",disco
"[-9.8187012e+01  9.2406166e+01  2.6589999e+00  1.9365164e+01
  3.5725617e+00 -1.7528334e+00 -1.7048805e+00 -3.1811252e+00
 -9.1033812e+00 -4.0845356e+00 -5.1873956e+00 -5.4817677e+00
 -4.2330327e+00 -3.7672806e+00 -1.7109783e+00 -5.5838566e+00
 -4.6922503e+00 -2.7134733e+00 -1.8473061e+00 -3.0993195e+00
 -2.5256462e+00 -1.7298996e+00 -1.4557112e+00 -2.0835397e-01
 -1.3035252e+00 -3.1800683e+00 -3.2598290e+00 -1.1157206e+00
 -1.6307008e-01  1.0609118e-02 -4.7121720e+00 -5.8739467e+00
 -3.7633176e+00 -2.0164607e+00 -1.5710490e+00 -2.4398935e+00
 -2.1155043e+00 -1.7431414e+00 -3.4683056e+00 -4.1286492e+00]",disco
"[-7.3086945e+01  7.1746613e+01  1.2055069e+01  1.4190236e+00
  4.5368185e+00  1.0854836e+01  3.8677087e+00  9.3845201e-01
 -5.9773855e+00  9.0393467e+00 -2.3677554e+00  3.5528102e+00
 -1.4295751e-01  3.1307847e+00 -5.8583718e-02  3.8367397e-01
  1.0944022e+00  1.5095392e+00  2.2970171e+00  1.9301829e+00
 -2.4690940e+00 -3.4467642e+00 -9.2025578e-01 -1.7946987e+00
 -1.1220454e+00 -1.2005908e+00 -3.4233711e+00 -2.1761966e+00
 -2.6992960e+00 -2.1624193e+00 -1.7692854e+00  1.3104333e-01
 -2.9863522e+00 -1.8034638e-03 -2.9170862e-01 -2.3009338e+00
 -3.0791585e+00 -2.1987271e+00 -3.6402323e+00 -4.9591045e+00]",disco
"[-9.5046043e+01  1.0933905e+02 -3.0173485e+01  1.6371214e+01
  2.0041512e+01  1.1963911e+01  3.4903231e+00  6.1774540e+00
  5.2048135e+00  8.6184607e+00  3.3158284e-01  3.8170958e-01
  5.3766805e-01 -1.7974900e+00  9.7902912e-01 -5.6159709e-02
 -3.6710413e+00 -2.1446869e+00 -3.6547704e+00 -4.4069352e+00
 -3.4487097e+00 -7.2231537e-01 -2.2116487e+00 -3.1868837e+00
 -3.2441838e+00 -3.4636247e+00 -6.1028466e+00 -3.7720044e+00
  3.6038356e-03  1.7896500e+00 -6.8964815e-01 -3.5462856e+00
 -4.8117414e+00 -2.6173911e+00 -2.9359186e+00 -1.9406445e+00
 -2.2489522e+00 -3.1287303e+00 -4.8074346e+00 -3.6162033e+00]",disco
"[-104.13797     105.871155    -14.32759      36.710423    -10.330668
   16.791773     -6.818429      8.1312       -4.4643703     0.98136365
  -10.006949      0.375473     -1.7045553     2.9751775    -0.8930394
   -3.060968     -4.453873     -6.516971     -8.449899     -2.775298
   -2.3615727    -1.0575238    -0.7647073    -0.97929865   -3.483932
   -3.3893592    -2.8695285     0.10776212    1.3312871     2.906386
   -3.3385193    -5.129448     -1.1621577    -1.2980692     1.3450259
   -0.81162906   -2.326645     -2.6823432    -3.4853191    -1.7987794 ]",disco
"[-115.077194     70.42093      31.231396     11.171844     13.070835
    3.8785784     1.8067201     4.9745398    -1.0353943     3.9286358
   -1.2870673    -0.688994     -1.0698988    -0.13318475   -2.1568527
   -2.3228714    -6.3843455    -5.307529     -4.9935174    -3.8497205
   -2.010698     -3.9148064    -1.2988231    -0.61332947    2.4827876
   -0.83801043    1.0147442    -2.1584063    -0.16198085   -3.712097
   -4.758365     -0.7381881    -1.1059005    -1.1999427    -0.49842247
   -2.1853583    -3.1265337    -1.3975347    -2.5821278    -3.1266801 ]",disco
"[-71.953896    46.87051     21.02663     29.955154     9.50348
   2.3987136    8.242609     2.5120273   -2.1593833    0.44539666
  -0.22787969  -1.5480236   -3.60627     -3.8175902   -5.2899184
  -2.9226556   -2.8894856   -1.7902486   -0.7166394   -0.991375
  -1.9779866   -3.079935    -3.891061    -4.764889    -1.5555571
  -2.5589168   -6.834297    -6.138603    -2.6921413   -1.5986612
  -1.458739    -5.3893485   -5.022869    -2.0791879   -0.7007672
   0.15600815  -0.18046278  -1.4290113    0.54225314  -3.2523637 ]",disco
"[-3.2176426e+01  6.0042603e+01  3.3742273e+00  1.8975922e+01
  4.3331447e+00  6.8896502e-01 -2.0220764e+00  1.3296518e+00
 -4.6426954e+00  3.7909770e+00 -6.7397232e+00 -4.8872533e+00
 -2.3366930e+00 -1.6814722e+00 -3.4923317e+00 -2.6718416e+00
  1.0063704e+00  4.0142937e+00  4.7001719e+00  5.8470507e+00
  2.7575810e+00  2.7672877e+00  3.6458745e+00  2.5248590e+00
  1.8136389e+00  3.1432164e-01 -3.5004860e-01  1.8310260e+00
  1.8269366e+00 -1.4591179e+00 -1.9970406e+00 -2.2055876e+00
 -1.2975779e+00  2.5146219e-01 -1.2428155e-01 -1.8989005e+00
  4.9657777e-02 -1.1895109e+00 -2.3149953e+00 -2.7263451e+00]",disco
"[-69.63065    83.07227   -16.599928    0.1183711   7.420607    0.7700079
   1.3374783   4.695799   -1.4168245   3.3194354  -2.8782651  -8.20215
  -5.767511   -0.2626999  -3.2032092  -1.8796513   4.0476403   3.6531594
   1.9044927   3.6120808  -0.9469882  -2.8739905  -7.100591   -1.4432657
  -2.210643   -2.1547694  -2.4077227  -3.8474436  -4.9866633  -4.069389
  -2.7426093  -5.699321   -4.626894   -4.834463   -4.3454247  -2.4915626
  -3.8447924  -3.4679086  -4.777283   -2.7622864]",disco
"[-124.16993      90.155014    -11.328686     10.931417     -1.1485723
   -3.7591834    -0.85792863   -3.8354802    -3.7047462    -0.25987902
   -5.8160195    -3.4383402    -4.632643     -4.562113     -5.4892015
   -5.1882544    -4.594987     -1.8010652    -1.3196421    -1.9655148
   -4.0443454    -4.541467     -3.2755907    -0.521476      1.074471
    2.5284119     0.8255956    -1.3403177    -4.397718     -6.1013465
   -3.7934182    -0.46586177   -1.1823522    -3.7363307    -1.8852943
   -1.9281276    -0.33943963    0.4309524     0.14625765   -0.93760556]",disco
"[-6.8054008e+01  6.6353928e+01  1.1858418e+01  2.1977438e+01
  9.7577562e+00  6.6893187e+00  1.5989807e+00  3.8087969e+00
  9.5074654e-01  4.7707677e+00 -4.2104149e+00 -6.3488424e-02
 -1.2341599e+00  7.6885417e-02 -1.1320714e+00 -2.0634444e+00
  2.5625432e+00  1.3867337e+00  2.1786878e+00  2.2448604e+00
  1.2839878e+00  2.1990405e-01 -8.4601295e-01 -1.2135063e+00
 -5.8836520e-01 -1.5978554e+00 -2.0996451e+00 -7.0273238e-01
 -1.3166162e+00 -3.5059530e-01 -4.3394402e-01 -1.3314661e+00
 -3.0395532e+00 -7.8636253e-01 -2.3115783e+00 -3.0354246e-01
 -5.4944152e-01  4.8780742e-01 -3.4288113e+00 -3.2681913e+00]",disco
"[-1.55670044e+02  6.06231766e+01  2.31564484e+01  3.11767025e+01
  2.50464916e+01  1.69021206e+01  9.44591713e+00  8.45103645e+00
  5.31985712e+00  6.55565262e+00  5.76958704e+00  3.92365241e+00
  7.56810570e+00  2.16403556e+00  4.42319441e+00  4.34401512e+00
 -1.51375150e-02  8.93051744e-01 -4.88245994e-01 -4.77956724e+00
 -4.07178688e+00 -8.33280087e-01 -3.73583412e+00 -1.66305780e+00
 -3.70744526e-01 -1.23355293e+00 -3.13806987e+00 -4.13463771e-01
 -2.08581448e+00 -1.19342305e-01 -7.62860239e-01 -9.26337242e-01
  5.85461378e-01  8.96636367e-01  7.39356101e-01  1.33780921e+00
 -6.53915942e-01 -6.64764822e-01  2.98159104e-02 -6.41432881e-01]",disco
"[-2.0493900e+01  5.3692123e+01  5.9808583e+00  1.0135651e+01
  1.7066591e+01  9.5314770e+00  4.6186805e+00  6.3997002e+00
 -3.3616531e-01  1.7284749e+00  3.6760638e+00 -7.7743119e-01
 -5.8819690e+00  2.3283489e+00  3.6691993e-01  2.7435677e+00
 -5.2999038e-01 -1.2045474e+00  2.4779312e-01 -1.2764971e+00
 -3.9034057e+00 -2.9532528e+00 -1.7889451e+00 -2.0156920e+00
 -8.9023340e-01 -3.5844476e+00 -3.2575896e+00 -3.7952588e+00
 -1.1204340e+00 -4.4649694e-02 -9.1362852e-01 -3.2274706e+00
 -2.0020285e+00 -1.6329356e+00 -2.3272061e+00 -2.1312799e+00
 -1.0675936e+00 -2.7601264e+00 -3.9762650e+00 -4.6674576e+00]",disco
"[-5.8975624e+01  6.8867523e+01 -8.4672365e+00  3.6156859e+00
  5.0683937e+00  3.2651877e+00  1.3515075e+01 -1.3705544e+00
  1.6674581e+00  3.7045982e+00 -3.7095897e+00 -3.2859462e-01
 -2.8358054e+00 -8.7987232e+00 -4.4893675e+00 -6.4030643e+00
  4.5779958e-01 -2.2721584e+00  2.9838636e+00 -3.1933732e-02
  4.8059586e-01 -2.2489007e+00 -3.4635870e+00 -4.3420272e+00
 -2.6995041e+00 -2.0039749e+00 -7.2917790e+00 -1.7280353e+00
 -5.5706091e+00 -4.2467637e+00 -6.3385015e+00 -4.0425639e+00
 -2.9422717e+00 -3.1672032e+00 -2.5589416e+00 -2.9838593e+00
 -2.0845394e+00 -1.7218062e-01 -9.3758953e-01 -6.0032219e-01]",disco
"[-40.752613    63.94863      4.9002733   16.338194    12.109655
   9.335104     4.537441     5.185624    -0.590275    -0.08554646
   2.94747     -1.4827536   -1.7634141   -2.2719662   -6.1210017
  -4.726044    -4.745715    -5.7655835   -4.028948    -5.362669
  -9.76153     -4.8248296   -4.4371667   -3.6126218   -2.7614367
  -3.4826598   -3.3939855   -0.5316609   -1.7570946   -3.671057
  -4.0510945   -5.85944     -3.2805378   -4.0278587   -0.5493975
  -1.0169582   -3.642066    -5.0462775   -0.9568371   -0.50552183]",disco
"[-66.57301     58.33059     -8.167375    15.471976     5.5654945
   7.6850796    4.063464    -3.5938897   -1.3324877    1.6080923
  -5.4819927   -3.7419503   -3.2483392   -1.3407207   -3.4400046
  -1.1899524   -4.3770537   -3.6513264   -2.0903535   -0.31238165
  -3.8269792   -3.005992    -1.7571784    0.82298464   1.9722537
  -0.12426277  -4.0557427   -2.7463684    2.4860344    2.3131258
  -2.4257114   -2.1233392   -2.6688907   -1.0262889   -0.5004761
   0.16016105   0.69854945  -1.0978352   -2.3055172   -2.6526337 ]",disco
"[-1.2333121e+02  8.6988487e+01 -2.2510223e+01  6.9424691e+00
  8.4651957e+00  1.2644244e+01 -8.5528219e-01 -8.3469868e-01
 -3.2606728e+00  2.6243713e+00 -7.7050847e-01 -4.1433403e-01
 -3.8346293e+00 -5.6534681e+00 -1.8429160e+00  1.2024577e-01
 -1.0585830e+00  4.4958649e+00 -9.8010224e-01 -5.2599206e+00
 -1.5553043e+00 -2.4118593e+00 -1.0534650e+00 -6.9923317e-01
 -1.1035181e+00 -1.3072476e+00  3.0588927e+00 -2.5864332e+00
 -7.3384271e+00 -6.5474243e+00  2.6068292e+00  4.4526348e+00
 -2.0487959e+00 -4.8591161e+00 -3.9172857e+00 -9.8798293e-01
 -4.8462386e+00 -2.1336193e+00  2.7772791e+00  2.9672129e+00]",disco
"[-57.816143    86.559784   -11.807115    38.770008     2.3708022
   8.82681     -1.2821876    9.910632    -1.6604491    9.840833
   3.0085049    7.504814     1.7077206    5.663775    -0.690502
   3.4469688    0.13456982  -0.94698465  -2.6365416    1.6447155
   2.7157054   -0.6120111   -3.4571989   -3.6685581   -3.2376657
  -1.3578181   -0.9256194    2.3564773   -4.308833    -2.5937288
   4.036901     3.7908094   -3.3262799   -3.0506074   -3.6560876
  -2.0752294   -0.13690336  -1.3499092    1.3353695    4.379946  ]",disco
"[-65.7685      52.818348    16.573313    12.561863     5.6153107
   8.380825    -0.6204211   -0.61569387  -4.0818486    0.68219966
  -7.784732    -1.8936242   -7.254853    -5.2742314   -3.0502172
  -4.3513255   -2.5462744    0.7212554   -0.31364226   2.9274375
  -3.6934726   -2.0771239   -2.9305794   -3.6400747   -2.237237
  -3.613408    -4.394059    -6.8807116   -2.4193814   -2.8130076
  -2.6323588   -7.2657995   -5.423147    -3.523578    -1.1994069
  -1.3360788    0.45040113  -2.0362544   -0.3635422   -1.6633008 ]",disco
"[-51.76516     55.671803    11.406057     7.478552    12.002954
   6.2611246    4.3525815    4.310239    -5.940638     0.5639912
   3.5921662   -2.3924637   -5.827445    -4.526173    -7.0139523
  -4.2613654   -1.7364826   -2.1432908   -2.4925854   -1.5445365
  -3.5744252   -0.8556775   -2.1644833   -5.2492537   -5.733141
  -4.8719773   -6.632962    -5.0365806    0.79071957   0.44049656
  -3.3946      -5.400845    -4.1194987   -4.764934    -2.3709548
  -3.6708074   -4.899274    -4.6395063   -3.7511778   -5.314841  ]",disco
"[-2.3554237e+01  5.7342735e+01  6.9984479e+00  1.6543451e+01
  5.5119610e+00  1.1862946e+01  1.6884779e+00  5.4613194e+00
  2.7518313e+00  7.3380198e+00  1.9618068e+00  1.2653590e+00
 -2.3449988e+00 -2.3246601e+00  1.0840211e-01 -1.5036108e-01
  2.2672770e+00  1.5780425e+00 -1.8400424e+00 -2.4345062e+00
 -2.7879410e+00 -3.6115770e+00 -3.5000885e+00  2.1318772e-01
 -2.2036202e+00 -1.6272473e+00 -6.7405945e-01  3.2713205e-02
 -2.9095564e+00 -2.0945754e+00  1.2255538e+00  2.1695034e-01
 -2.7319834e+00 -3.3578117e+00 -2.3410404e+00 -2.0337157e+00
 -1.8660674e+00 -1.2882904e+00 -1.3822636e-01  3.9397621e-01]",disco
"[-26.572124    52.05681      4.1798263   12.867351    16.744804
  10.1250925    4.477274     6.3274975    1.1676531    0.651469
   4.6326404    2.135598    -3.3680077    1.6317382   -1.8845644
  -1.0858479   -0.67264426   2.3921902    4.168654     2.8624425
  -1.6824105   -4.4225683   -3.7933652   -1.5768399    0.42858088
  -0.9431312   -1.9251128   -2.6201637   -2.9406362   -1.2032228
  -0.7832329   -6.568178    -4.87962     -1.6056275    0.5331693
   0.74064654   1.4874884    1.810568     2.666936    -1.3967714 ]",disco
"[-77.44353     52.192024    -9.003063    12.85945      8.564754
   2.8909404    8.93061      4.0074058   -7.3485837   -2.2597075
   0.9599889   -1.0451938   -3.765717    -3.5298455   -2.4318633
  -4.8853707   -1.8551201   -4.171834    -1.6597078    3.5143955
  -1.1072887   -1.2474353   -5.368794    -4.3489404   -1.238345
   1.0543135    0.78736585   1.5789089   -0.8958858   -2.6051931
   0.6434817    0.41257268  -1.2563099   -1.9711403   -2.1470747
  -0.22893423   1.5996736    0.29669353   2.026024     3.3128126 ]",disco
"[-1.07419014e+02  9.10633469e+01 -8.36044884e+00  3.42991638e+01
 -1.91801441e+00  3.77625918e+00  1.05258646e+01  5.56809330e+00
  6.94528389e+00  4.77210283e+00  6.84871852e-01 -3.84676504e+00
 -2.57747197e+00 -9.02249455e-01  7.03396606e+00  3.79048729e+00
  3.33630013e+00  5.19529438e+00  2.87873697e+00  3.18025470e+00
 -7.51320571e-02  1.01089680e+00 -9.69180882e-01  2.36767340e+00
  2.77453709e+00  4.53746110e-01 -2.54186511e+00 -1.26426303e+00
  7.94618607e-01 -3.57517028e+00 -6.53096008e+00 -8.45786989e-01
  2.52440429e+00  9.93614972e-01  1.46641409e+00 -6.11607194e-01
 -3.09404159e+00 -1.99076819e+00 -2.47448158e+00 -2.14505506e+00]",disco
"[-78.310104    80.05325     -9.145553    25.454119    -3.38754
  16.801464     7.2613983    1.8166608    0.4876321    6.3167944
   1.4947494    2.1649706    0.65831167  -3.3799522   -0.91427654
   2.9340763   -0.63502276   5.868482     1.8953923   -0.60556483
  -1.5207461   -6.4600525   -4.8274817   -1.0781788   -0.83478063
  -1.0845073   -2.5328164   -4.055066    -3.9657238   -2.5278172
  -0.42575634  -2.9826493   -4.0435357   -3.3144388   -0.4677555
   0.23276503   0.9691942    1.2842653   -2.1113205   -3.1473498 ]",disco
"[-122.0258      116.833405     28.316168     24.712553     10.907239
   -1.8973352    -1.3955238    -0.9501112    -3.5476987    -2.6201527
   -1.125432     -4.189509     -2.5425723    -3.765184     -0.2581268
    3.2461314    -5.7633605     0.7067946     0.27355012   -2.2826636
   -4.4415665    -3.5003436    -3.9929907    -4.8266444    -2.1301224
   -1.0301654    -4.471283     -6.3287354    -4.546003      0.26031232
    2.6132617    -2.043974     -3.580408     -2.161731     -2.3397532
   -1.0910349    -0.9006742     0.47031808   -1.6712118    -4.2753916 ]",disco
